review_id,service_id,review_text,claim_type
1,7,I had an awful experience with the Flu Shot. The staff was rude.,Evidence
2,2,The General Checkup was conducted efficiently and professionally.,Evidence
3,1,I had an awful experience with the X-ray Imaging. The staff was rude.,Counterclaim
4,2,"The staff didn’t explain the General Checkup procedure well, which left me confused.",Rebuttal
5,5,The Physical Therapy was conducted efficiently and professionally.,Claim
6,5,"The staff didn’t explain the Physical Therapy procedure well, which left me confused.",Evidence
7,3,The Blood Test was exactly what I needed to feel better.,Counterclaim
8,2,I felt well-cared for during my General Checkup procedure.,Rebuttal
9,6,"The MRI Scan was painful, and I wouldn't recommend it to anyone.",Counterclaim
10,4,I felt very comfortable during the Vaccination. The procedure was seamless.,Claim
11,9,The Mental Health Counseling was thorough and informative. Great service.,Evidence
12,9,The Mental Health Counseling didn't meet my expectations at all.,Evidence
13,4,I felt rushed through the Vaccination. It wasn’t personalized at all.,Claim
14,7,My Flu Shot experience was frustrating. I had to wait for a long time.,Evidence
15,1,I felt very comfortable during the X-ray Imaging. The procedure was seamless.,Claim
16,10,"The staff didn’t explain the Chiropractic Adjustment procedure well, which left me confused.",Counterclaim
17,3,"The Blood Test was done with precision, and I felt at ease.",Counterclaim
18,4,"The staff didn’t explain the Vaccination procedure well, which left me confused.",Counterclaim
19,10,I appreciated the clarity of the process during the Chiropractic Adjustment.,Evidence
20,10,The staff made the Chiropractic Adjustment process easy and stress-free.,Claim
21,7,The Flu Shot was quick and painless. Highly recommend it.,Evidence
22,9,Everything about the Mental Health Counseling went smoothly and as expected.,Rebuttal
23,1,The X-ray Imaging was conducted efficiently and professionally.,Rebuttal
24,3,"I was not satisfied with the Blood Test results, it didn’t work for me.",Rebuttal
25,6,"I was not satisfied with the MRI Scan results, it didn’t work for me.",Rebuttal
26,8,I had a great experience with the Dental Cleaning. The staff was very helpful.,Rebuttal
27,8,I felt rushed through the Dental Cleaning. It wasn’t personalized at all.,Counterclaim
28,10,I had a great experience with the Chiropractic Adjustment. The staff was very helpful.,Counterclaim
29,10,The staff made the Chiropractic Adjustment process easy and stress-free.,Claim
30,7,I felt rushed through the Flu Shot. It wasn’t personalized at all.,Counterclaim
31,10,The Chiropractic Adjustment was quick and painless. Highly recommend it.,Evidence
32,9,The Mental Health Counseling was exactly what I needed to feel better.,Claim
33,6,Everything about the MRI Scan went smoothly and as expected.,Rebuttal
34,9,The Mental Health Counseling was conducted efficiently and professionally.,Rebuttal
35,10,I appreciated the clarity of the process during the Chiropractic Adjustment.,Claim
36,4,The Vaccination was quick and painless. Highly recommend it.,Counterclaim
37,6,"The staff didn’t explain the MRI Scan procedure well, which left me confused.",Evidence
38,2,"The General Checkup was done with precision, and I felt at ease.",Claim
39,3,"The Blood Test was done with precision, and I felt at ease.",Rebuttal
40,9,The Mental Health Counseling was thorough and informative. Great service.,Rebuttal
41,6,I had an awful experience with the MRI Scan. The staff was rude.,Rebuttal
42,5,I don’t think the Physical Therapy was necessary. It didn’t help at all.,Rebuttal
43,10,The Chiropractic Adjustment was conducted efficiently and professionally.,Counterclaim
44,6,"The MRI Scan took way too long, and I felt uncomfortable throughout.",Counterclaim
45,1,"The X-ray Imaging was painful, and I wouldn't recommend it to anyone.",Counterclaim
46,1,I had a great experience with the X-ray Imaging. The staff was very helpful.,Claim
47,4,"The Vaccination was painful, and I wouldn't recommend it to anyone.",Counterclaim
48,6,"The staff didn’t explain the MRI Scan procedure well, which left me confused.",Evidence
49,8,"The Dental Cleaning took way too long, and I felt uncomfortable throughout.",Evidence
50,2,The General Checkup was conducted efficiently and professionally.,Rebuttal
51,2,I had an awful experience with the General Checkup. The staff was rude.,Claim
52,3,"The Blood Test took way too long, and I felt uncomfortable throughout.",Evidence
53,1,My X-ray Imaging experience was frustrating. I had to wait for a long time.,Rebuttal
54,6,I felt very comfortable during the MRI Scan. The procedure was seamless.,Claim
55,3,"The staff didn’t explain the Blood Test procedure well, which left me confused.",Evidence
56,7,I don’t think the Flu Shot was necessary. It didn’t help at all.,Claim
57,10,I appreciated the clarity of the process during the Chiropractic Adjustment.,Evidence
58,3,I felt rushed through the Blood Test. It wasn’t personalized at all.,Evidence
59,2,I had a great experience with the General Checkup. The staff was very helpful.,Rebuttal
60,3,The Blood Test was conducted efficiently and professionally.,Claim
61,2,My General Checkup experience was frustrating. I had to wait for a long time.,Evidence
62,2,"The General Checkup took way too long, and I felt uncomfortable throughout.",Counterclaim
63,2,I appreciated the clarity of the process during the General Checkup.,Claim
64,7,"The Flu Shot took way too long, and I felt uncomfortable throughout.",Evidence
65,3,I felt rushed through the Blood Test. It wasn’t personalized at all.,Counterclaim
66,7,The Flu Shot was exactly what I needed to feel better.,Evidence
67,5,The Physical Therapy was thorough and informative. Great service.,Claim
68,9,My Mental Health Counseling experience was frustrating. I had to wait for a long time.,Counterclaim
69,3,The Blood Test was conducted efficiently and professionally.,Counterclaim
70,5,The Physical Therapy didn't meet my expectations at all.,Counterclaim
71,4,"The staff didn’t explain the Vaccination procedure well, which left me confused.",Rebuttal
72,6,Everything about the MRI Scan went smoothly and as expected.,Claim
73,5,The staff made the Physical Therapy process easy and stress-free.,Counterclaim
74,2,I had a great experience with the General Checkup. The staff was very helpful.,Rebuttal
75,5,I appreciated the clarity of the process during the Physical Therapy.,Counterclaim
76,8,The Dental Cleaning was quick and painless. Highly recommend it.,Counterclaim
77,8,The Dental Cleaning didn't meet my expectations at all.,Claim
78,10,I felt very comfortable during the Chiropractic Adjustment. The procedure was seamless.,Counterclaim
79,7,"The Flu Shot took way too long, and I felt uncomfortable throughout.",Claim
80,3,I had a great experience with the Blood Test. The staff was very helpful.,Evidence
81,9,"The staff didn’t explain the Mental Health Counseling procedure well, which left me confused.",Evidence
82,6,The MRI Scan was thorough and informative. Great service.,Rebuttal
83,6,Everything about the MRI Scan went smoothly and as expected.,Counterclaim
84,5,The Physical Therapy was quick and painless. Highly recommend it.,Rebuttal
85,2,"The General Checkup was painful, and I wouldn't recommend it to anyone.",Claim
86,7,"The Flu Shot was painful, and I wouldn't recommend it to anyone.",Evidence
87,9,The Mental Health Counseling was thorough and informative. Great service.,Counterclaim
88,3,I had a great experience with the Blood Test. The staff was very helpful.,Rebuttal
89,8,The Dental Cleaning was quick and painless. Highly recommend it.,Evidence
90,10,"The Chiropractic Adjustment was painful, and I wouldn't recommend it to anyone.",Counterclaim
91,6,"The MRI Scan was done with precision, and I felt at ease.",Rebuttal
92,5,The staff made the Physical Therapy process easy and stress-free.,Claim
93,7,"The Flu Shot took way too long, and I felt uncomfortable throughout.",Counterclaim
94,4,The Vaccination was thorough and informative. Great service.,Claim
95,10,"The Chiropractic Adjustment was painful, and I wouldn't recommend it to anyone.",Counterclaim
96,1,I appreciated the clarity of the process during the X-ray Imaging.,Rebuttal
97,4,I felt rushed through the Vaccination. It wasn’t personalized at all.,Rebuttal
98,4,I felt rushed through the Vaccination. It wasn’t personalized at all.,Claim
99,5,"I was not satisfied with the Physical Therapy results, it didn’t work for me.",Claim
100,2,The General Checkup was thorough and informative. Great service.,Counterclaim
101,6,The MRI Scan was quick and painless. Highly recommend it.,Rebuttal
102,10,"I was not satisfied with the Chiropractic Adjustment results, it didn’t work for me.",Counterclaim
103,9,"The staff didn’t explain the Mental Health Counseling procedure well, which left me confused.",Counterclaim
104,10,I felt well-cared for during my Chiropractic Adjustment procedure.,Counterclaim
105,8,I had an awful experience with the Dental Cleaning. The staff was rude.,Rebuttal
106,1,"The X-ray Imaging took way too long, and I felt uncomfortable throughout.",Evidence
107,1,I appreciated the clarity of the process during the X-ray Imaging.,Claim
108,10,The Chiropractic Adjustment was exactly what I needed to feel better.,Counterclaim
109,2,The General Checkup was thorough and informative. Great service.,Rebuttal
110,10,The Chiropractic Adjustment was thorough and informative. Great service.,Evidence
111,8,"The Dental Cleaning took way too long, and I felt uncomfortable throughout.",Claim
112,6,My MRI Scan experience was frustrating. I had to wait for a long time.,Counterclaim
113,5,The Physical Therapy was quick and painless. Highly recommend it.,Claim
114,5,I felt well-cared for during my Physical Therapy procedure.,Claim
115,4,I had an awful experience with the Vaccination. The staff was rude.,Counterclaim
116,3,The Blood Test didn't meet my expectations at all.,Rebuttal
117,5,I had an awful experience with the Physical Therapy. The staff was rude.,Claim
118,8,I felt very comfortable during the Dental Cleaning. The procedure was seamless.,Counterclaim
119,2,"The General Checkup was done with precision, and I felt at ease.",Evidence
120,3,I had an awful experience with the Blood Test. The staff was rude.,Rebuttal
121,3,I don’t think the Blood Test was necessary. It didn’t help at all.,Rebuttal
122,6,"The MRI Scan took way too long, and I felt uncomfortable throughout.",Rebuttal
123,10,"The Chiropractic Adjustment was done with precision, and I felt at ease.",Claim
124,5,The Physical Therapy was thorough and informative. Great service.,Counterclaim
125,10,The Chiropractic Adjustment was thorough and informative. Great service.,Counterclaim
126,3,I had a great experience with the Blood Test. The staff was very helpful.,Claim
127,4,My Vaccination experience was frustrating. I had to wait for a long time.,Claim
128,8,My Dental Cleaning experience was frustrating. I had to wait for a long time.,Claim
129,6,The MRI Scan was exactly what I needed to feel better.,Claim
130,2,I had an awful experience with the General Checkup. The staff was rude.,Evidence
131,8,My Dental Cleaning experience was frustrating. I had to wait for a long time.,Counterclaim
132,5,"I was not satisfied with the Physical Therapy results, it didn’t work for me.",Evidence
133,7,The staff made the Flu Shot process easy and stress-free.,Counterclaim
134,3,I appreciated the clarity of the process during the Blood Test.,Counterclaim
135,7,I had a great experience with the Flu Shot. The staff was very helpful.,Counterclaim
136,3,"The Blood Test took way too long, and I felt uncomfortable throughout.",Claim
137,1,I don’t think the X-ray Imaging was necessary. It didn’t help at all.,Claim
138,1,The staff made the X-ray Imaging process easy and stress-free.,Claim
139,3,"The Blood Test took way too long, and I felt uncomfortable throughout.",Claim
140,9,I had an awful experience with the Mental Health Counseling. The staff was rude.,Rebuttal
141,1,I felt well-cared for during my X-ray Imaging procedure.,Evidence
142,9,The staff made the Mental Health Counseling process easy and stress-free.,Rebuttal
143,6,The MRI Scan was exactly what I needed to feel better.,Counterclaim
144,4,The Vaccination was quick and painless. Highly recommend it.,Claim
145,1,Everything about the X-ray Imaging went smoothly and as expected.,Claim
146,3,"The Blood Test took way too long, and I felt uncomfortable throughout.",Counterclaim
147,1,The X-ray Imaging was thorough and informative. Great service.,Evidence
148,9,"The Mental Health Counseling was painful, and I wouldn't recommend it to anyone.",Counterclaim
149,5,The Physical Therapy didn't meet my expectations at all.,Claim
150,6,I felt rushed through the MRI Scan. It wasn’t personalized at all.,Claim
151,4,I had an awful experience with the Vaccination. The staff was rude.,Rebuttal
152,1,"The staff didn’t explain the X-ray Imaging procedure well, which left me confused.",Evidence
153,10,I had a great experience with the Chiropractic Adjustment. The staff was very helpful.,Claim
154,9,The Mental Health Counseling didn't meet my expectations at all.,Counterclaim
155,9,Everything about the Mental Health Counseling went smoothly and as expected.,Counterclaim
156,1,"The X-ray Imaging took way too long, and I felt uncomfortable throughout.",Claim
157,10,The Chiropractic Adjustment was quick and painless. Highly recommend it.,Counterclaim
158,1,"The X-ray Imaging was done with precision, and I felt at ease.",Counterclaim
159,10,I felt very comfortable during the Chiropractic Adjustment. The procedure was seamless.,Evidence
160,1,"I was not satisfied with the X-ray Imaging results, it didn’t work for me.",Rebuttal
161,3,The Blood Test was exactly what I needed to feel better.,Evidence
162,4,The staff made the Vaccination process easy and stress-free.,Rebuttal
163,5,"I was not satisfied with the Physical Therapy results, it didn’t work for me.",Claim
164,4,"The Vaccination took way too long, and I felt uncomfortable throughout.",Rebuttal
165,3,The Blood Test was exactly what I needed to feel better.,Counterclaim
166,10,I don’t think the Chiropractic Adjustment was necessary. It didn’t help at all.,Evidence
167,7,The Flu Shot was conducted efficiently and professionally.,Claim
168,2,The General Checkup was conducted efficiently and professionally.,Counterclaim
169,8,The Dental Cleaning didn't meet my expectations at all.,Evidence
170,3,The Blood Test didn't meet my expectations at all.,Rebuttal
171,5,The Physical Therapy was thorough and informative. Great service.,Counterclaim
172,7,I don’t think the Flu Shot was necessary. It didn’t help at all.,Evidence
173,5,The Physical Therapy was thorough and informative. Great service.,Claim
174,7,I appreciated the clarity of the process during the Flu Shot.,Rebuttal
175,3,My Blood Test experience was frustrating. I had to wait for a long time.,Claim
176,10,"The staff didn’t explain the Chiropractic Adjustment procedure well, which left me confused.",Rebuttal
177,10,I don’t think the Chiropractic Adjustment was necessary. It didn’t help at all.,Evidence
178,9,The Mental Health Counseling was quick and painless. Highly recommend it.,Counterclaim
179,9,"The Mental Health Counseling was painful, and I wouldn't recommend it to anyone.",Claim
180,7,I had an awful experience with the Flu Shot. The staff was rude.,Claim
181,3,The staff made the Blood Test process easy and stress-free.,Counterclaim
182,8,I had an awful experience with the Dental Cleaning. The staff was rude.,Counterclaim
183,10,"I was not satisfied with the Chiropractic Adjustment results, it didn’t work for me.",Counterclaim
