service_id,service_name,description
1,X-ray Imaging,"X-ray imaging is used to examine bones, organs, and tissues."
2,General Checkup,A routine checkup to assess overall health and prevent disease.
3,Blood Test,A diagnostic procedure to analyze blood samples for health conditions.
4,Vaccination,Immunization to protect against specific diseases.
5,Physical Therapy,Treatment to improve movement and relieve pain through exercises and techniques.
6,MRI Scan,A medical imaging technique used to visualize internal structures.
7,Flu Shot,A vaccination to protect against influenza.
8,Dental Cleaning,Professional cleaning of teeth to prevent dental issues.
9,Mental Health Counseling,Therapy to support mental and emotional well-being.
10,Chiropractic Adjustment,Manual therapy to treat musculoskeletal problems.
