service_id,summary_text
968,General feedback suggests that X-ray Imaging is effective.
243,General feedback suggests that General Checkup is effective.
955,General feedback suggests that Blood Test is effective.
765,General feedback suggests that Vaccination is effective.
170,General feedback suggests that Physical Therapy is controversial.
935,General feedback suggests that MRI Scan is controversial.
442,General feedback suggests that Flu Shot is effective.
535,General feedback suggests that Dental Cleaning is controversial.
930,General feedback suggests that Mental Health Counseling is controversial.
672,General feedback suggests that Chiropractic Adjustment is effective.
